location,landmark,state,country,lon_location,lat_location,type,ratings,total_reviews
Taj Mahal,Taj Mahal,Uttar Pradesh,India,78.0421,27.1751,place,5,104994
Taj Mahal,Hotel Taj Mahal Retreat,Uttar Pradesh,India,78.0228,27.1559,hotel,4.5,3114
Taj Mahal,Oyo Taj Mahal Retreat,Uttar Pradesh,India,78.0052,27.1401,hotel,4.6,2395
Taj Mahal,Novotel Taj Mahal Suites,Uttar Pradesh,India,78.0285,27.1458,hotel,4.9,4585
Taj Mahal,Leela Taj Mahal Plaza,Uttar Pradesh,India,78.0023,27.1825,hotel,3.1,3386
Taj Mahal,Novotel Taj Mahal Suites,Uttar Pradesh,India,78.0387,27.1484,hotel,4,2294
Taj Mahal,Hilton Taj Mahal Palace,Uttar Pradesh,India,78.0298,27.1579,hotel,2.7,1236
Taj Mahal,ITC Taj Mahal Inn,Uttar Pradesh,India,78.015,27.2051,hotel,4.7,2461
Taj Mahal,Marriott Taj Mahal Palace,Uttar Pradesh,India,78.0261,27.2001,hotel,2.8,757
Taj Mahal,Radisson Taj Mahal Retreat,Uttar Pradesh,India,78.0582,27.1587,hotel,4.7,1268
Taj Mahal,Radisson Taj Mahal Lodge,Uttar Pradesh,India,78.0193,27.2116,hotel,5,547
Taj Mahal,Inn Taj Mahal Boutique,Uttar Pradesh,India,78.0607,27.1408,hotel,4.8,4774
Taj Mahal,Comfort Inn Taj Mahal Palace,Uttar Pradesh,India,78.0458,27.1401,hotel,5,2981
Taj Mahal,Resort Taj Mahal Boutique,Uttar Pradesh,India,78.0133,27.1393,hotel,3.5,2508
Taj Mahal,Comfort Inn Taj Mahal Boutique,Uttar Pradesh,India,78.0578,27.149,hotel,4.9,2058
Taj Mahal,Taj Taj Mahal Palace,Uttar Pradesh,India,78.0207,27.1695,hotel,4.6,4920
Taj Mahal,Radisson Taj Mahal View,Uttar Pradesh,India,78.0463,27.1459,hotel,3.7,308
Taj Mahal,The Grand Taj Mahal Suites,Uttar Pradesh,India,78.0372,27.1558,hotel,4.6,2964
Taj Mahal,Marriott Taj Mahal Plaza,Uttar Pradesh,India,78.0214,27.2108,hotel,4.2,311
Taj Mahal,Radisson Taj Mahal Suites,Uttar Pradesh,India,78.0259,27.1883,hotel,4,2894
Taj Mahal,Novotel Taj Mahal Residency,Uttar Pradesh,India,78.0212,27.2031,hotel,4,4899
Taj Mahal,Radisson Taj Mahal Boutique,Uttar Pradesh,India,78.0694,27.1428,hotel,4.8,1699
Taj Mahal,Oyo Taj Mahal Retreat,Uttar Pradesh,India,78.0193,27.176,hotel,4.9,4486
Taj Mahal,Oyo Taj Mahal Plaza,Uttar Pradesh,India,78.0476,27.2133,hotel,2.6,4549
Taj Mahal,Marriott Taj Mahal Plaza,Uttar Pradesh,India,78.0106,27.1374,hotel,4.1,3965
Taj Mahal,Leela Taj Mahal View,Uttar Pradesh,India,78.0502,27.2081,hotel,3.5,3225
Taj Mahal,Hyatt Taj Mahal Plaza,Uttar Pradesh,India,78.0486,27.1665,hotel,3.1,3377
Taj Mahal,Royal Taj Mahal Residency,Uttar Pradesh,India,78.0494,27.2119,hotel,3.9,2720
Taj Mahal,ITC Taj Mahal Residency,Uttar Pradesh,India,78.0448,27.1747,hotel,4.1,4761
Taj Mahal,Novotel Taj Mahal Boutique,Uttar Pradesh,India,78.0605,27.1625,hotel,3.4,1834
Taj Mahal,Hyatt Taj Mahal Lodge,Uttar Pradesh,India,78.0448,27.156,hotel,4.7,191
Taj Mahal,Inn Taj Mahal View,Uttar Pradesh,India,78.0021,27.1903,hotel,2.8,3560
Taj Mahal,Hyatt Taj Mahal View,Uttar Pradesh,India,78.0196,27.1406,hotel,3.6,667
Taj Mahal,Taj Taj Mahal Lodge,Uttar Pradesh,India,78.0376,27.1384,hotel,4.1,3724
Taj Mahal,Oyo Taj Mahal Lodge,Uttar Pradesh,India,78.0419,27.1615,hotel,2.8,3318
Taj Mahal,Marriott Taj Mahal Plaza,Uttar Pradesh,India,78.08,27.1822,hotel,4.8,1071
Taj Mahal,Taj Taj Mahal Palace,Uttar Pradesh,India,78.0346,27.1509,hotel,2.9,3609
Taj Mahal,ITC Taj Mahal Residency,Uttar Pradesh,India,78.014,27.1568,hotel,3.7,496
Taj Mahal,Resort Taj Mahal Palace,Uttar Pradesh,India,78.0496,27.2077,hotel,4.7,1687
