location,landmark,state,country,lon_location,lat_location,type,ratings,total_reviews
Statue of Liberty,Statue of Liberty,New York,USA,-93.669054,29.293015,place,4.8,93696
Tranquil Resort,Statue of Liberty,New York,USA,-93.653367,29.276493,hotel,3.8,344
Grand Manor,Statue of Liberty,New York,USA,-93.680308,29.293229,hotel,3.1,1728
Silver Suites,Statue of Liberty,New York,USA,-93.663059,29.294813,hotel,3.4,4927
Emerald Inn,Statue of Liberty,New York,USA,-93.656677,29.273275,hotel,4.6,3562
Prestige Resort,Statue of Liberty,New York,USA,-93.677939,29.281628,hotel,4.5,937
Aurora Manor,Statue of Liberty,New York,USA,-93.673857,29.287374,hotel,3.7,2266
Velvet Resort,Statue of Liberty,New York,USA,-93.687316,29.291392,hotel,3.2,3200
Lunar Plaza,Statue of Liberty,New York,USA,-93.666972,29.306191,hotel,4.2,3062
Royal Hotel,Statue of Liberty,New York,USA,-93.681362,29.275797,hotel,4.3,2470
Sunset Suites,Statue of Liberty,New York,USA,-93.654841,29.307674,hotel,3.8,3814
Emerald Haven,Statue of Liberty,New York,USA,-93.65569,29.279521,hotel,3.7,2287
Solar Hotel,Statue of Liberty,New York,USA,-93.651588,29.298936,hotel,4.2,1501
Vibrant Grill,Statue of Liberty,New York,USA,-93.659889,29.279551,restaurant,4.1,2671
Prime Brasserie,Statue of Liberty,New York,USA,-93.666776,29.3004,restaurant,4.8,279
Green Tavern,Statue of Liberty,New York,USA,-93.656182,29.305217,restaurant,4.1,321
Vintage Steakhouse,Statue of Liberty,New York,USA,-93.652529,29.295702,restaurant,4.6,920
Bella Spoon,Statue of Liberty,New York,USA,-93.669085,29.308402,restaurant,4.5,635
Classic Room,Statue of Liberty,New York,USA,-93.683469,29.302815,restaurant,4.3,2444
Little Kitchen,Statue of Liberty,New York,USA,-93.653141,29.288991,restaurant,3.8,616
Sweet Grill,Statue of Liberty,New York,USA,-93.669313,29.303246,restaurant,4.8,676
Little Bistro,Statue of Liberty,New York,USA,-93.682655,29.300234,restaurant,4.4,1626
Golden Table,Statue of Liberty,New York,USA,-93.665218,29.291737,restaurant,3.9,2316
Spicy Bite,Statue of Liberty,New York,USA,-93.661843,29.277597,restaurant,4.8,1142
Red Cantina,Statue of Liberty,New York,USA,-93.675447,29.284755,restaurant,3.7,63
Historic Temple of New York,Historic Temple of New York,New York,USA,-91.721322,30.430899,place,4.3,86959
Silver Chateau,Historic Temple of New York,New York,USA,-91.707656,30.431205,hotel,3.4,3163
Royal Manor,Historic Temple of New York,New York,USA,-91.73486,30.449039,hotel,4.8,104
Pinnacle Haven,Historic Temple of New York,New York,USA,-91.728356,30.411678,hotel,4.9,2619
Ocean Residences,Historic Temple of New York,New York,USA,-91.739005,30.446019,hotel,4.9,801
Crest Resort,Historic Temple of New York,New York,USA,-91.721883,30.413667,hotel,4.5,1130
Velvet Lodge,Historic Temple of New York,New York,USA,-91.714932,30.448773,hotel,3.3,4422
Tranquil Palace,Historic Temple of New York,New York,USA,-91.717059,30.449473,hotel,4.9,1747
Sapphire Palace,Historic Temple of New York,New York,USA,-91.728854,30.450705,hotel,4.3,3688
Crystal Manor,Historic Temple of New York,New York,USA,-91.723263,30.420815,hotel,3.1,272
Sunset Hotel,Historic Temple of New York,New York,USA,-91.719166,30.434436,hotel,3.0,582
Aurora Suites,Historic Temple of New York,New York,USA,-91.738626,30.412155,hotel,3.7,4311
Diamond Resort,Historic Temple of New York,New York,USA,-91.730183,30.430315,hotel,4.1,4777
Hidden Bistro,Historic Temple of New York,New York,USA,-91.722416,30.442284,restaurant,4.7,829
Blue Kitchen,Historic Temple of New York,New York,USA,-91.737445,30.428141,restaurant,4.1,1962
Vintage Bite,Historic Temple of New York,New York,USA,-91.739156,30.437037,restaurant,4.5,298
Classic Bite,Historic Temple of New York,New York,USA,-91.712194,30.442922,restaurant,3.7,834
Red Grill,Historic Temple of New York,New York,USA,-91.719871,30.416506,restaurant,3.8,1944
Signature Kitchen,Historic Temple of New York,New York,USA,-91.706343,30.413914,restaurant,4.7,2304
Signature Plate,Historic Temple of New York,New York,USA,-91.739299,30.45087,restaurant,4.8,432
Mellow Diner,Historic Temple of New York,New York,USA,-91.73467,30.430324,restaurant,3.8,1692
Vibrant Tavern,Historic Temple of New York,New York,USA,-91.734737,30.410985,restaurant,4.1,1913
Classic House,Historic Temple of New York,New York,USA,-91.724402,30.449191,restaurant,5.0,2326
Blue Kitchen,Historic Temple of New York,New York,USA,-91.712586,30.417091,restaurant,3.9,289
Prime Brasserie,Historic Temple of New York,New York,USA,-91.711893,30.413337,restaurant,4.0,255
Imperial Temple of New York,Imperial Temple of New York,New York,USA,-91.091623,30.524677,place,4.2,71562
Emerald Spa,Imperial Temple of New York,New York,USA,-91.077569,30.507417,hotel,3.1,2026
Pearl Villa,Imperial Temple of New York,New York,USA,-91.106827,30.540288,hotel,3.5,4970
Royal Suites,Imperial Temple of New York,New York,USA,-91.086847,30.521446,hotel,4.2,4382
Royal Chateau,Imperial Temple of New York,New York,USA,-91.074234,30.512847,hotel,4.4,2055
Pearl Plaza,Imperial Temple of New York,New York,USA,-91.095791,30.531544,hotel,3.6,2690
Silver Resort,Imperial Temple of New York,New York,USA,-91.074193,30.505049,hotel,4.2,4712
Crystal Residences,Imperial Temple of New York,New York,USA,-91.108692,30.513203,hotel,3.5,2959
Lunar Residences,Imperial Temple of New York,New York,USA,-91.076452,30.519458,hotel,3.3,4550
Heritage Boutique,Imperial Temple of New York,New York,USA,-91.099522,30.544031,hotel,4.6,4433
Crystal Spa,Imperial Temple of New York,New York,USA,-91.084908,30.526861,hotel,4.9,948
Oasis Plaza,Imperial Temple of New York,New York,USA,-91.101044,30.540265,hotel,4.5,1373
Tranquil Retreat,Imperial Temple of New York,New York,USA,-91.100352,30.513102,hotel,3.7,2262
Sweet Kitchen,Imperial Temple of New York,New York,USA,-91.092081,30.54089,restaurant,4.8,428
Sweet Tavern,Imperial Temple of New York,New York,USA,-91.09468,30.515744,restaurant,3.5,585
Vibrant Brasserie,Imperial Temple of New York,New York,USA,-91.072431,30.51114,restaurant,4.2,2940
Bella Steakhouse,Imperial Temple of New York,New York,USA,-91.089186,30.509152,restaurant,4.9,2880
Green Steakhouse,Imperial Temple of New York,New York,USA,-91.089799,30.53806,restaurant,4.4,656
Blue Bite,Imperial Temple of New York,New York,USA,-91.106525,30.517007,restaurant,4.8,213
Hidden Cafe,Imperial Temple of New York,New York,USA,-91.10322,30.514658,restaurant,3.7,2343
Cozy Lounge,Imperial Temple of New York,New York,USA,-91.072669,30.534656,restaurant,4.9,1019
Golden Fork,Imperial Temple of New York,New York,USA,-91.072574,30.537107,restaurant,4.8,151
Spicy Cafe,Imperial Temple of New York,New York,USA,-91.08216,30.517964,restaurant,4.9,2793
Prime Diner,Imperial Temple of New York,New York,USA,-91.079193,30.515349,restaurant,4.7,492
Signature Room,Imperial Temple of New York,New York,USA,-91.076736,30.53902,restaurant,3.8,1935
Majestic Square of New York,Majestic Square of New York,New York,USA,-91.487026,31.885464,place,4.4,91511
Solar Resort,Majestic Square of New York,New York,USA,-91.491087,31.876608,hotel,3.1,2386
Crest Plaza,Majestic Square of New York,New York,USA,-91.481366,31.881451,hotel,5.0,4492
Solar Retreat,Majestic Square of New York,New York,USA,-91.469456,31.870078,hotel,4.9,1562
Whispering Lodge,Majestic Square of New York,New York,USA,-91.468524,31.876083,hotel,3.2,3659
Velvet Villa,Majestic Square of New York,New York,USA,-91.477884,31.878011,hotel,4.2,4289
Grand Spa,Majestic Square of New York,New York,USA,-91.491618,31.888528,hotel,3.5,3672
Prestige Resort,Majestic Square of New York,New York,USA,-91.486229,31.897725,hotel,4.4,1714
Aurora Residences,Majestic Square of New York,New York,USA,-91.489774,31.903419,hotel,4.8,2671
Velvet Chateau,Majestic Square of New York,New York,USA,-91.473105,31.894254,hotel,3.6,2633
Silver Chateau,Majestic Square of New York,New York,USA,-91.49069,31.88156,hotel,3.6,1142
Tranquil Boutique,Majestic Square of New York,New York,USA,-91.490208,31.903079,hotel,4.4,1525
Ocean Lodge,Majestic Square of New York,New York,USA,-91.484261,31.881707,hotel,4.7,2589
Green Diner,Majestic Square of New York,New York,USA,-91.498618,31.896895,restaurant,4.4,1369
Vintage Spoon,Majestic Square of New York,New York,USA,-91.489354,31.892489,restaurant,4.3,745
Bella Bar & Grill,Majestic Square of New York,New York,USA,-91.503634,31.886082,restaurant,4.4,1422
Classic Bar & Grill,Majestic Square of New York,New York,USA,-91.474289,31.89551,restaurant,4.5,970
Spicy Eatery,Majestic Square of New York,New York,USA,-91.501132,31.867313,restaurant,5.0,2553
Prime Bar & Grill,Majestic Square of New York,New York,USA,-91.488809,31.90091,restaurant,4.4,2992
Mellow Grill,Majestic Square of New York,New York,USA,-91.491667,31.88145,restaurant,3.7,2866
Sweet Bite,Majestic Square of New York,New York,USA,-91.471319,31.899882,restaurant,4.8,1791
Classic Brasserie,Majestic Square of New York,New York,USA,-91.49999,31.903783,restaurant,4.3,255
Cozy Spoon,Majestic Square of New York,New York,USA,-91.497058,31.899398,restaurant,4.2,1953
Mellow Oven,Majestic Square of New York,New York,USA,-91.48578,31.887821,restaurant,4.0,1862
Modern Spoon,Majestic Square of New York,New York,USA,-91.474425,31.901145,restaurant,4.1,2294
Imperial Palace of New York,Imperial Palace of New York,New York,USA,-91.794549,30.29887,place,4.4,37406
Ocean Residences,Imperial Palace of New York,New York,USA,-91.789043,30.309502,hotel,4.0,2059
Sapphire Residences,Imperial Palace of New York,New York,USA,-91.796955,30.307412,hotel,3.5,2851
Diamond Suites,Imperial Palace of New York,New York,USA,-91.778828,30.282093,hotel,3.3,3237
Royal Suites,Imperial Palace of New York,New York,USA,-91.808437,30.287428,hotel,3.8,2810
Lunar Resort,Imperial Palace of New York,New York,USA,-91.795912,30.28136,hotel,4.7,3290
Sunset Manor,Imperial Palace of New York,New York,USA,-91.791186,30.306691,hotel,4.7,4816
Oasis Villa,Imperial Palace of New York,New York,USA,-91.79547,30.316579,hotel,3.6,3294
Sunset Chateau,Imperial Palace of New York,New York,USA,-91.778884,30.312299,hotel,4.1,4573
Velvet Chateau,Imperial Palace of New York,New York,USA,-91.790419,30.287691,hotel,3.4,3670
Golden Inn,Imperial Palace of New York,New York,USA,-91.813388,30.292315,hotel,4.4,3412
Aurora Retreat,Imperial Palace of New York,New York,USA,-91.807948,30.297565,hotel,3.3,4475
Velvet Inn,Imperial Palace of New York,New York,USA,-91.778272,30.302546,hotel,4.3,787
Bella Bar & Grill,Imperial Palace of New York,New York,USA,-91.797405,30.313544,restaurant,3.8,1115
Mellow Room,Imperial Palace of New York,New York,USA,-91.801455,30.297058,restaurant,4.0,1602
Urban Brasserie,Imperial Palace of New York,New York,USA,-91.784469,30.312147,restaurant,3.9,385
