location,landmark,state,country,lon_location,lat_location,type,ratings,total_reviews
Statue of Liberty,Statue of Liberty,New York,USA,-93.669054,29.293015,place,4.9,364785
Lunar Plaza,Statue of Liberty,New York,USA,-93.668091,29.293197,hotel,3.5,867
Grand Haven,Statue of Liberty,New York,USA,-93.670179,29.293036,hotel,3.8,4564
Silver Chateau,Statue of Liberty,New York,USA,-93.669376,29.292812,hotel,4.8,1407
Golden Suites,Statue of Liberty,New York,USA,-93.668261,29.292376,hotel,4.9,2857
Sapphire Villa,Statue of Liberty,New York,USA,-93.670645,29.292535,hotel,4.0,2266
Velvet Resort,Statue of Liberty,New York,USA,-93.667825,29.293934,hotel,5.0,3200
Tranquil Palace,Statue of Liberty,New York,USA,-93.670739,29.292188,hotel,4.8,3062
Royal Spa,Statue of Liberty,New York,USA,-93.668745,29.293833,hotel,3.8,2470
Ocean Plaza,Statue of Liberty,New York,USA,-93.667113,29.294436,hotel,3.9,3088
Aurora Lodge,Statue of Liberty,New York,USA,-93.670403,29.292436,hotel,4.6,684
Prestige Suites,Statue of Liberty,New York,USA,-93.668617,29.2917,hotel,3.7,3208
Heritage Haven,Statue of Liberty,New York,USA,-93.669974,29.294717,hotel,3.8,2756
Hidden Fork,Statue of Liberty,New York,USA,-93.667683,29.294119,restaurant,4.8,1693
Crispy Oven,Statue of Liberty,New York,USA,-93.669983,29.291859,restaurant,4.1,2094
Vintage Cafe,Statue of Liberty,New York,USA,-93.669471,29.294673,restaurant,4.1,1060
Crispy Room,Statue of Liberty,New York,USA,-93.668074,29.293171,restaurant,4.9,1685
Sweet Bar & Grill,Statue of Liberty,New York,USA,-93.669606,29.295004,restaurant,4.4,242
Classic Room,Statue of Liberty,New York,USA,-93.66761,29.291626,restaurant,4.5,1626
Cozy Kitchen,Statue of Liberty,New York,USA,-93.669527,29.295,restaurant,5.0,97
Vibrant Kitchen,Statue of Liberty,New York,USA,-93.668333,29.291473,restaurant,4.7,1443
Vintage Spoon,Statue of Liberty,New York,USA,-93.670608,29.292754,restaurant,4.9,2997
Classic Bar & Grill,Statue of Liberty,New York,USA,-93.67,29.293017,restaurant,4.9,2611
Mellow Grill,Statue of Liberty,New York,USA,-93.66986,29.293571,restaurant,4.0,711
Cozy Spoon,Statue of Liberty,New York,USA,-93.668896,29.29413,restaurant,4.5,2051
Central Park,Central Park,New York,USA,-94.691264,32.116567,place,4.9,446032
Emerald Residences,Central Park,New York,USA,-94.690037,32.115524,hotel,4.4,745
Sunset Chateau,Central Park,New York,USA,-94.692922,32.116511,hotel,4.3,1130
Velvet Inn,Central Park,New York,USA,-94.692751,32.116468,hotel,3.9,3566
Prestige Manor,Central Park,New York,USA,-94.689407,32.118282,hotel,3.8,2653
Sapphire Retreat,Central Park,New York,USA,-94.691668,32.117253,hotel,4.8,3798
Pearl Hotel,Central Park,New York,USA,-94.69278,32.115465,hotel,4.4,1985
Heritage Spa,Central Park,New York,USA,-94.69091,32.114595,hotel,3.6,652
Sunset Haven,Central Park,New York,USA,-94.689643,32.118005,hotel,3.9,4076
Lunar Palace,Central Park,New York,USA,-94.692407,32.115096,hotel,4.2,3974
Ocean Spa,Central Park,New York,USA,-94.690034,32.115328,hotel,4.1,3569
Royal Spa,Central Park,New York,USA,-94.69162,32.118022,hotel,4.5,906
Ocean Suites,Central Park,New York,USA,-94.693022,32.117479,hotel,3.8,4493
Bella House,Central Park,New York,USA,-94.69147,32.116254,restaurant,4.1,358
Vibrant Bistro,Central Park,New York,USA,-94.691492,32.118012,restaurant,3.9,2264
Hidden Diner,Central Park,New York,USA,-94.68992,32.118443,restaurant,4.3,2021
Savory Diner,Central Park,New York,USA,-94.692409,32.116171,restaurant,4.3,1649
Vintage Eatery,Central Park,New York,USA,-94.692203,32.117703,restaurant,4.3,2326
Urban Eatery,Central Park,New York,USA,-94.690617,32.116513,restaurant,4.1,289
Little Fork,Central Park,New York,USA,-94.690948,32.116735,restaurant,3.9,2002
Classic Fork,Central Park,New York,USA,-94.691253,32.117977,restaurant,5.0,378
Golden Tavern,Central Park,New York,USA,-94.689859,32.114841,restaurant,4.3,2383
Mellow Plate,Central Park,New York,USA,-94.692279,32.116945,restaurant,4.3,2440
Bella Grill,Central Park,New York,USA,-94.691003,32.115832,restaurant,4.6,1336
Signature Eatery,Central Park,New York,USA,-94.69231,32.11615,restaurant,4.3,347
Empire State Building,Empire State Building,New York,USA,-94.731909,30.884809,place,4.8,62418
Silver Inn,Empire State Building,New York,USA,-94.733616,30.883662,hotel,4.9,663
Majestic Retreat,Empire State Building,New York,USA,-94.730392,30.884287,hotel,4.8,2578
